rooms,year_built,location,building_floor_num,garage,district,leasing,balcony,size_meters,door_type,apartment_floor_num,window_type,num_windows,floor_type
2 өрөө,2010,Зайсан,6,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,53.0,Бүргэд,1,Вакум,3,Паркет
1 өрөө,2018,"3, 4 хороолол",2,Байхгүй,Баянгол,Хувь лизингтэй,Тагтгүй,32.0,Бүргэд,2,Вакум,2,Паркет
2 өрөө,2013,13-р хороолол,12,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,52.0,Төмөр,4,Вакум,3,Паркет
2 өрөө,2015,Sunrise,12,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,50.0,Бүргэд,4,Вакум,3,Паркет
1 өрөө,2014,Нисэх,9,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,24.0,Бүргэд,4,Вакум,1,Паркет
2 өрөө,2016,Бусад,12,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,58.06,Төмөр,2,Вакум,2,Паркет
3 өрөө,2014,Бусад,12,Байхгүй,Хан-Уул,Лизинггүй,2 тагттай,103.0,Төмөр,2,Вакум,4,Паркет
3 өрөө,1988,"3, 4 хороолол",9,Байхгүй,Баянгол,Лизинггүй,2 тагттай,78.0,Бүргэд,3,Мод,4,Мод
1 өрөө,2015,21-р хороолол,12,Байхгүй,Сонгино Хайрхан,Лизинггүй,1 тагттай,32.5,Бүргэд,4,Вакум,2,Паркет
2 өрөө,2012,Зүүн 4 зам,10,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,46.6,Бүргэд,9,Вакум,1,Паркет
5+ өрөө,2018,220 мянгат,17,Байгаа,Сүхбаатар,Лизинггүй,1 тагттай,161.7,Бүргэд,25,Вакум,8,Паркет
2 өрөө,2010,Бусад,6,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,52.0,Бүргэд,5,Вакум,3,Паркет
1 өрөө,2018,Бусад,15,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,45.0,Төмөр вакум,12,Вакум,2,Паркет
3 өрөө,2014,Зайсан,6,Байгаа,Хан-Уул,Банкны лизингтэй,Тагтгүй,86.7,Бүргэд,1,Вакум,8,Паркет
3 өрөө,2014,Бусад,9,Байхгүй,Баянгол,Банкны лизингтэй,1 тагттай,71.0,Бүргэд,7,Вакум,4,Паркет
3 өрөө,1996,10-р хороолол,9,Байхгүй,Баянгол,Лизинггүй,1 тагттай,92.0,Бүргэд,9,Вакум,4,Паркет
3 өрөө,2014,11-р хороолол,12,Байгаа,Сүхбаатар,Лизинггүй,1 тагттай,49.0,Мод,7,Вакум,3,Паркет
5+ өрөө,2004,Офицер,3,Байхгүй,Баянзүрх,Лизинггүй,3+ тагттай,145.25,Бүргэд,2,Вакум,8,Паркет
2 өрөө,2012,13-р хороолол,5,Байхгүй,Баянзүрх,Хувь лизингтэй,1 тагттай,54.0,Бүргэд,4,Вакум,3,Паркет
